sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric									
Blank_1	111738	97750	87.48	97012	94510	84.58									
Blank_2	146592	131244	89.53	130449	124630	85.02									
C1165D1LM	401595	336508	83.79	333833	333071	82.94									
C1165D1LM_PBS	113730	100268	88.16	99360	96244	84.62									
C1165D3LM	343289	287841	83.85	285062	283854	82.69									
C1165D3LM_PBS	129609	112426	86.74	111497	109301	84.33				Denoising Stats					
C1179D1LM	316079	269970	85.41	268596	267017	84.48				input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
C1179D1LM_PBS	112694	99786	88.55	99003	97094	86.16			mean	297213.4136	254389.8271	84.41464407	252594.3593	239303.061	81.72857627
C1179D3LM	626541	527784	84.24	525306	522108	83.33			minimum	3955	578	0.85	509	509	0.75
C1179D3LM_PBS	144153	126661	87.87	125561	119797	83.1			maximum	8203930	6968984	91.91	6954993	6562374	88.99
C1217D1LM	196694	167047	84.93	165302	163164	82.95									
C1217D1LM_PBS	202594	182959	90.31	181484	163869	80.89									
C1217D3LM_PBS	109102	97034	88.94	96273	93972	86.13									
C1218D1LM	219935	186595	84.84	185762	184536	83.9									
C1218D1LM_PBS	148252	131405	88.64	130241	125125	84.4									
C1218D3LM	392206	334037	85.17	331223	330467	84.26									
C1226D1LM	261172	214844	82.26	213191	213082	81.59									
C1226D1LM_PBS	152723	136288	89.24	135375	133064	87.13									
C1226D3LM	364614	311157	85.34	308718	308504	84.61									
C1226D3LM_PBS	148649	129785	87.31	128870	125336	84.32									
C1228D1LM	224532	190713	84.94	187604	186125	82.89									
C1228D1LM_PBS	118206	72598	61.42	71995	70369	59.53									
C1228D3LM	227434	191088	84.02	188930	186256	81.89									
C1228D3LM_PBS	1013328	883426	87.18	848436	672217	66.34									
C1234D1LM	174637	147461	84.44	145924	144168	82.55									
C1234D1LM_PBS	131894	116754	88.52	116072	113750	86.24									
C1234D3LM	333073	264552	79.43	262633	259259	77.84									
C1234D3LM_PBS	178005	156315	87.81	154560	150860	84.75									
C1261D1LM	193748	161535	83.37	159867	157911	81.5									
C1261D1LM_PBS	135907	120653	88.78	120080	118193	86.97									
C1261D3LM	273818	226922	82.87	223302	222912	81.41									
C1261D3LM_PBS	216932	191031	88.06	189853	182526	84.14									
C1287D1LM	253624	207456	81.8	205665	205129	80.88									
C1287D1LM_PBS	186319	163685	87.85	162320	155194	83.29									
C1287D3LM	157257	131116	83.38	130565	129315	82.23									
C1287D3LM_PBS	94872	82032	86.47	81344	79846	84.16									
C1308D1LM	237986	197707	83.08	196025	193974	81.51									
C1308D1LM_PBS	81275	72561	89.28	72145	70732	87.03									
C1308D3LM	352330	292807	83.11	290839	287746	81.67									
C1308D3LM_PBS	209407	184342	88.03	182988	174753	83.45									
C1314D1LM	278721	240400	86.25	238722	238425	85.54									
C1314D1LM_PBS	124237	110637	89.05	109894	107909	86.86									
C1314D3LM	185810	156295	84.12	153430	153315	82.51									
C1314D3LM_PBS	79482	69882	87.92	69417	69113	86.95									
C1320D1LM	161673	136111	84.19	134602	133163	82.37									
C1320D1LM_PBS	97927	84237	86.02	83714	81817	83.55									
C1320D3LM	318034	274646	86.36	271528	268644	84.47									
C1320D3LM_PBS	169701	151448	89.24	150434	147894	87.15									
C1349D1LM	187274	153610	82.02	151728	149392	79.77									
C1349D1LM_PBS	121400	104639	86.19	104284	97940	80.68									
C1349D3LM	339249	278500	82.09	276719	273111	80.5									
C1349D3LM_PBS	124348	107810	86.7	107235	105378	84.74									
C1354D1LM	277302	229506	82.76	227070	225051	81.16									
C1354D1LM_PBS	188555	168361	89.29	166816	155890	82.68									
C1354D3LM	77445	60275	77.83	59757	57900	74.76									
C1354D3LM_PBS	119410	105506	88.36	104941	102195	85.58									
C1355D1LM	478614	394873	82.5	392049	385826	80.61									
C1355D1LM_PBS	276244	244313	88.44	242596	233279	84.45									
C1355D3LM	123936	81005	65.36	78927	78927	63.68									
C1355D3LM_PBS	237247	207859	87.61	206636	197475	83.24									
C1368D1LM	253918	209853	82.65	208045	206053	81.15									
C1368D1LM_PBS	89408	79423	88.83	78931	78160	87.42									
C1368D3LM	314652	272516	86.61	270982	267601	85.05									
C1368D3LM_PBS	60163	51658	85.86	51156	50685	84.25									
C1409D1LM	192358	160787	83.59	159010	157235	81.74									
C1409D1LM_PBS	96762	82828	85.6	82379	81499	84.23									
C1409D3LM	890492	780021	87.59	761335	714561	80.24									
C1409D3LM_PBS	79159	67491	85.26	67068	65618	82.89									
C279D1LM	155391	131738	84.78	129616	128168	82.48									
C279D1LM_PBS	135356	118273	87.38	117753	113395	83.78									
C279D3LM	130674	108395	82.95	107685	105683	80.88									
C279D3LM_PBS	53384	46602	87.3	46412	45426	85.09									
C288D1LM	521299	440882	84.57	438007	431065	82.69									
C288D1LM_PBS	332426	291763	87.77	289391	268563	80.79									
C288D3LM	319441	265794	83.21	263206	260504	81.55									
C288D3LM_PBS	212164	183322	86.41	182374	176810	83.34									
C302D1LM	229392	194959	84.99	193147	193023	84.15									
C302D1LM_PBS	428080	369299	86.27	366685	346691	80.99									
C302D3LM	256295	217134	84.72	215304	215250	83.99									
C302D3LM_PBS	262916	235704	89.65	233324	219766	83.59									
C321D1LM	218650	179217	81.97	178047	176196	80.58									
C321D1LM_PBS	127437	113123	88.77	112197	108973	85.51									
C321D3LM	207965	177076	85.15	174234	172270	82.84									
C321D3LM_PBS	2250750	2044762	90.85	2037104	1891707	84.05									
C403D1LM	242007	205715	85	204067	202073	83.5									
C403D1LM_PBS	259240	230055	88.74	228337	210613	81.24									
C403D3LM	187476	161382	86.08	160475	158349	84.46									
C403D3LM_PBS	293662	261718	89.12	260620	250284	85.23									
C466D1LM	69249	36444	52.63	36086	36027	52.03									
C466D1LM_PBS	144291	125070	86.68	124318	120752	83.69									
C466D3LM	175699	145351	82.73	144143	143207	81.51									
C466D3LM_PBS	106869	95262	89.14	94529	92481	86.54									
C487D1LM	86354	72931	84.46	71912	71478	82.77									
