sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric										
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric										
Blank_1	111738	97374	87.14	96442	95164	85.17										
Blank_2	146592	130648	89.12	129629	124530	84.95										
C1165D1LM	401595	335232	83.48	333298	327772	81.62										
C1165D1LM_PBS	113730	99708	87.67	98783	95751	84.19										
C1165D3LM	343289	286793	83.54	283825	279030	81.28										
C1165D3LM_PBS	129609	111878	86.32	110687	108298	83.56					Denoising Stats – 240 bp trimmed reads					
C1179D1LM	316079	268846	85.06	267390	263357	83.32					input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
C1179D1LM_PBS	112694	99323	88.14	98382	96150	85.32				mean	297213.4136	253095.4339	83.94037288	251112.2373	238042.7322	81.26488136
C1179D3LM	626541	525851	83.93	522282	513215	81.91				minimum	3955	561	0.83	490	490	0.72
C1179D3LM_PBS	144153	125993	87.4	124718	119165	82.67				maximum	8203930	6920518	91.65	6903540	6592296	88.95
C1217D1LM	196694	166387	84.59	164666	162224	82.48										
C1217D1LM_PBS	202594	181999	89.83	180338	163655	80.78										
C1217D3LM_PBS	109102	96494	88.44	95380	93286	85.5										
C1218D1LM	219935	185810	84.48	184901	181757	82.64										
C1218D1LM_PBS	148252	130620	88.11	129346	124189	83.77										
C1218D3LM	392206	332460	84.77	329598	324841	82.82										
C1226D1LM	261172	213831	81.87	212141	211583	81.01										
C1226D1LM_PBS	152723	135635	88.81	134583	132214	86.57										
C1226D3LM	364614	310201	85.08	307727	307213	84.26										
C1226D3LM_PBS	148649	129004	86.78	127963	124433	83.71										
C1228D1LM	224532	189830	84.54	187891	185121	82.45										
C1228D1LM_PBS	118206	69714	58.98	68975	67769	57.33										
C1228D3LM	227434	190426	83.73	188270	185621	81.62										
C1228D3LM_PBS	1013328	877262	86.57	832369	663219	65.45										
C1234D1LM	174637	146790	84.05	145207	143511	82.18										
C1234D1LM_PBS	131894	116047	87.99	115255	112964	85.65										
C1234D3LM	333073	263395	79.08	261428	258047	77.47										
C1234D3LM_PBS	178005	155391	87.3	153325	150348	84.46										
C1261D1LM	193748	160658	82.92	158957	157202	81.14										
C1261D1LM_PBS	135907	120086	88.36	119046	117757	86.65										
C1261D3LM	273818	225812	82.47	222183	221276	80.81										
C1261D3LM_PBS	216932	189690	87.44	188495	182066	83.93										
C1287D1LM	253624	206570	81.45	204784	203833	80.37										
C1287D1LM_PBS	186319	162692	87.32	160949	154093	82.7										
C1287D3LM	157257	130564	83.03	129886	127619	81.15										
C1287D3LM_PBS	94872	81535	85.94	80638	79276	83.56										
C1308D1LM	237986	196853	82.72	195144	192616	80.94										
C1308D1LM_PBS	81275	72280	88.93	71772	70777	87.08										
C1308D3LM	352330	291690	82.79	289732	285999	81.17										
C1308D3LM_PBS	209407	183137	87.46	181712	173669	82.93										
C1314D1LM	278721	239678	85.99	237996	237177	85.09										
C1314D1LM_PBS	124237	110047	88.58	109251	107003	86.13										
C1314D3LM	185810	155554	83.72	153320	152998	82.34										
C1314D3LM_PBS	79482	69552	87.51	68986	68882	86.66										
C1320D1LM	161673	135561	83.85	133912	132405	81.9										
C1320D1LM_PBS	97927	83733	85.51	83080	81734	83.46										
C1320D3LM	318034	273463	85.99	270269	267420	84.09										
C1320D3LM_PBS	169701	150748	88.83	149556	147562	86.95										
C1349D1LM	187274	152852	81.62	151072	148760	79.43										
C1349D1LM_PBS	121400	104034	85.7	103661	101960	83.99										
C1349D3LM	339249	277260	81.73	275469	271798	80.12										
C1349D3LM_PBS	124348	107067	86.1	106351	104016	83.65										
C1354D1LM	277302	228095	82.26	225552	223315	80.53										
C1354D1LM_PBS	188555	167594	88.88	165825	154686	82.04										
C1354D3LM	77445	59963	77.43	59438	57532	74.29										
C1354D3LM_PBS	119410	105001	87.93	104356	101857	85.3										
C1355D1LM	478614	393496	82.22	390578	384534	80.34										
C1355D1LM_PBS	276244	242692	87.85	240714	232042	84										
C1355D3LM	123936	79081	63.81	76999	76950	62.09										
C1355D3LM_PBS	237247	206556	87.06	205188	197522	83.26										
C1368D1LM	253918	208799	82.23	206963	204948	80.71										
C1368D1LM_PBS	89408	78960	88.31	78254	77463	86.64										
C1368D3LM	314652	271594	86.32	270394	265828	84.48										
C1368D3LM_PBS	60163	51317	85.3	50667	50270	83.56										
C1409D1LM	192358	160046	83.2	158263	156265	81.24										
C1409D1LM_PBS	96762	82374	85.13	81826	81044	83.76										
C1409D3LM	890492	777574	87.32	754716	713994	80.18										
C1409D3LM_PBS	79159	67149	84.83	66612	65853	83.19										
C279D1LM	155391	131280	84.48	129151	127764	82.22										
C279D1LM_PBS	135356	117550	86.85	116764	112529	83.14										
C279D3LM	130674	107779	82.48	107057	105778	80.95										
C279D3LM_PBS	53384	46361	86.84	46107	45236	84.74										
C288D1LM	521299	439474	84.3	436281	426702	81.85										
C288D1LM_PBS	332426	289596	87.12	286924	266236	80.09										
C288D3LM	319441	264707	82.87	262869	258397	80.89										
